Device,Category,Price (INR),Age (months),Physical Condition,Performance,Surface Wear,Internal Damage,Accessories Condition,Repair Cost (INR),Resale Price (INR)
MacBook Pro,Laptop,14998,5,0,5,4,4,3,43400,33923
Xiaomi Tablet,Tablet,45314,7,0,1,3,4,1,28300,51534
MacBook Pro,Laptop,197281,31,4,3,3,4,3,39900,143251
Xiaomi Tablet,Tablet,16052,48,0,5,2,5,4,46200,33052
Canon DSLR,Camera,13516,41,0,1,1,1,2,11100,15755
GoPro Camera,Camera,71925,44,3,3,0,2,2,23600,60709
Xiaomi Tablet,Tablet,105210,6,3,0,0,1,5,12000,99637
Bose Speaker,Audio,86079,29,0,1,1,2,5,18500,77683
Panasonic VCR,Appliance,147811,53,4,0,4,2,4,23200,90679
Dell Laptop,Laptop,35720,17,3,0,1,1,0,9500,33862
GoPro Camera,Camera,97551,55,0,4,5,5,3,46900,74664
Sony Headphones,Audio,170524,44,0,1,5,1,1,16300,120696
Canon DSLR,Camera,194081,30,4,5,2,0,0,22000,152679
Sharp LED,TV,175847,33,3,5,4,2,4,37200,133780
Samsung Refrigerator,Appliance,67675,13,4,0,3,3,0,23500,61491
Philips Air Purifier,Appliance,128878,56,3,0,1,3,5,23500,86499
Canon DSLR,Camera,168878,1,4,1,2,1,2,16600,152691
Dell Laptop,Laptop,131701,20,2,1,0,3,4,23200,116961
GoPro Camera,Camera,130276,4,3,5,0,1,3,25400,129948
Dell Laptop,Laptop,4441,38,4,1,5,1,0,19500,12459
Xiaomi Tablet,Tablet,62274,25,5,1,1,2,4,22700,55876
Apple Watch,Wearable,140613,4,2,5,1,3,3,35900,138877
Asus ZenBook,Laptop,17221,31,1,5,5,0,4,26700,25835
MacBook Pro,Laptop,195369,55,5,0,4,5,5,40000,106939
Panasonic VCR,Appliance,138454,13,1,3,4,5,4,44200,123864
Samsung TV,TV,48763,16,5,3,3,0,0,18500,46310
GoPro Camera,Camera,188207,59,1,0,4,5,4,35200,112645
LG Microwave,Appliance,37544,21,5,4,1,2,2,30100,42645
Xiaomi Tablet,Tablet,125649,25,1,2,2,0,2,11600,108204
Dell Laptop,Laptop,85453,28,5,4,4,1,4,31200,71999
Asus ZenBook,Laptop,52817,40,1,3,0,4,4,33200,53572
Philips Air Purifier,Appliance,38761,11,3,0,0,2,4,16200,40853
Philips Air Purifier,Appliance,26673,32,5,5,1,4,2,43100,38621
Philips Air Purifier,Appliance,166580,35,2,5,2,0,3,22400,135302
Lenovo Monitor,Monitor,47451,32,0,4,0,1,2,18600,48210
Canon DSLR,Camera,66502,45,4,3,1,2,0,24500,54479
Sony Headphones,Audio,68938,12,2,2,2,5,1,36800,70793
Canon DSLR,Camera,51340,44,0,1,4,2,0,19000,43384
Asus ZenBook,Laptop,149216,16,0,2,0,2,3,18400,140510
Sony Headphones,Audio,121261,52,4,1,2,1,5,19000,82257
MacBook Pro,Laptop,174397,47,4,3,5,3,1,36300,109708
Sony PlayStation,Gaming Console,8738,40,0,1,2,2,5,20000,16291
Panasonic VCR,Appliance,85715,28,1,2,4,0,3,15400,72843
Panasonic VCR,Appliance,73086,15,4,0,0,1,2,10600,65596
MacBook Pro,Laptop,116491,19,4,5,1,3,1,36300,104936
Panasonic VCR,Appliance,103741,55,0,0,0,1,0,5000,75637
Sony Headphones,Audio,104594,23,5,1,0,5,1,33800,88547
HP Printer,Printer,178583,19,0,0,5,4,4,30700,144823
Bose Speaker,Audio,29713,56,3,3,5,3,3,36900,33306
LG Microwave,Appliance,181816,3,5,3,3,1,1,24300,158512
iPhone 13,Phone,135844,17,2,3,2,5,4,42200,120945
Sony PlayStation,Gaming Console,165525,2,5,5,1,5,2,48100,151504
Bose Speaker,Audio,79061,13,2,5,2,3,0,35000,80353
Philips Air Purifier,Appliance,137360,18,1,2,2,3,1,25800,121414
MacBook Pro,Laptop,76104,2,5,3,0,1,4,22200,77310
HP Printer,Printer,85336,32,2,3,3,1,0,20500,71692
Panasonic VCR,Appliance,110641,33,1,3,0,5,2,36600,97408
Sony Headphones,Audio,172721,17,1,4,0,5,0,38000,156313
Lenovo Monitor,Monitor,40626,5,1,0,3,5,2,32100,48348
Samsung Refrigerator,Appliance,154509,35,2,4,5,0,5,25500,118589
Panasonic VCR,Appliance,139470,59,3,2,3,3,3,30900,88672
Xiaomi Tablet,Tablet,110876,40,1,1,2,3,2,23600,87196
iPhone 13,Phone,70928,52,0,4,4,2,4,31200,59575
Panasonic VCR,Appliance,122585,31,5,0,5,3,2,29100,86262
LG Microwave,Appliance,161864,19,3,5,3,0,1,23300,138713
Samsung Refrigerator,Appliance,88785,19,3,3,1,4,3,35900,84095
Asus ZenBook,Laptop,120525,21,1,0,1,3,0,17500,104567
Sharp LED,TV,175948,24,4,3,0,0,0,13000,147258
HP Printer,Printer,121151,20,5,1,1,0,0,9500,99248
Samsung Refrigerator,Appliance,178923,24,1,0,4,5,4,35200,139268
Bose Speaker,Audio,17129,43,4,4,3,3,3,37900,28970
iPhone 13,Phone,183674,46,3,1,2,2,4,22200,126815
HP Printer,Printer,26508,59,2,2,3,4,2,34100,30967
HP Printer,Printer,145015,56,4,2,5,5,1,43300,85457
Sony PlayStation,Gaming Console,14625,9,0,2,3,3,1,26300,25362
Canon DSLR,Camera,121415,16,2,5,1,3,1,34300,114282
Samsung Refrigerator,Appliance,49263,6,1,2,0,2,4,20200,54929
iPhone 13,Phone,132286,46,0,0,5,1,3,14900,93436
Samsung TV,TV,116998,17,2,0,4,0,1,8800,97413
Apple Watch,Wearable,87154,10,2,1,0,5,5,34000,87595
Panasonic VCR,Appliance,156685,19,2,4,5,5,5,50500,129446
Dell Laptop,Laptop,183232,26,1,2,0,2,5,21000,158918
Panasonic VCR,Appliance,24978,10,1,1,0,2,2,15600,30030
Lenovo Monitor,Monitor,94416,16,2,3,4,3,3,34400,87068
Sony PlayStation,Gaming Console,139435,19,3,1,0,0,2,7600,121623
Panasonic VCR,Appliance,6706,9,0,0,1,0,4,4700,8620
Samsung TV,TV,35386,41,0,4,2,5,2,41600,43978
LG Microwave,Appliance,52759,18,5,0,3,3,5,28500,50654
Asus ZenBook,Laptop,180832,39,3,3,4,2,0,28000,127020
iPhone 13,Phone,29856,7,0,2,3,4,3,32900,41081
Xiaomi Tablet,Tablet,81252,4,0,3,2,5,2,38600,87552
iPhone 13,Phone,20330,4,4,4,3,5,3,47900,38994
iPhone 13,Phone,137564,20,3,4,1,2,5,30500,122550
iPhone 13,Phone,178728,20,3,5,3,0,5,26500,152658
Dell Laptop,Laptop,119645,35,1,4,3,1,3,24900,99193
Philips Air Purifier,Appliance,127623,26,2,4,3,0,4,21700,109120
Canon DSLR,Camera,84126,48,5,4,2,3,0,35000,64611
Sharp LED,TV,141713,43,4,2,2,1,0,18000,100405
LG Microwave,Appliance,105433,5,0,1,1,4,1,25300,104904
iPhone 13,Phone,179761,27,2,2,4,1,2,20600,140627
Microsoft Xbox,Gaming Console,42578,53,0,2,1,2,4,20700,39090
Lenovo Monitor,Monitor,177543,32,2,0,5,0,5,13500,131030
Sharp LED,TV,145056,4,2,2,2,3,5,30000,136847
GoPro Camera,Camera,28774,19,4,5,4,2,3,37400,38986
Lenovo Monitor,Monitor,177675,12,0,5,0,4,2,36600,171100
Canon DSLR,Camera,67543,33,3,2,4,4,1,35800,59439
Sony Headphones,Audio,63752,13,5,2,5,2,5,32500,60558
Xiaomi Tablet,Tablet,115033,39,5,1,3,3,1,28300,81444
MacBook Pro,Laptop,151287,38,3,4,1,3,2,33100,117912
Xiaomi Tablet,Tablet,132793,41,3,2,0,1,1,14800,102347
Panasonic VCR,Appliance,47980,20,1,3,0,4,2,31600,54184
Lenovo Monitor,Monitor,77664,26,1,4,0,2,0,23000,74408
Sharp LED,TV,66676,44,1,0,2,4,3,26400,55873
Apple Watch,Wearable,198974,53,0,0,1,3,3,18900,139778
MacBook Pro,Laptop,140287,44,0,1,2,2,4,19200,107801
Bose Speaker,Audio,83267,29,2,0,4,2,5,22000,68871
Dell Laptop,Laptop,65495,13,2,1,4,3,3,28400,63649
Philips Air Purifier,Appliance,117070,52,0,3,0,5,2,35600,92725
Lenovo Monitor,Monitor,113656,57,5,4,2,4,3,42400,77460
HP Printer,Printer,82818,17,3,1,5,3,0,28500,71809
Dell Laptop,Laptop,47088,34,3,0,5,1,4,18700,39957
Panasonic VCR,Appliance,19242,48,5,5,3,1,2,31100,26710
Microsoft Xbox,Gaming Console,60476,14,2,1,0,1,3,12400,58814
Bose Speaker,Audio,67165,50,3,0,5,2,1,21300,47591
Philips Air Purifier,Appliance,156544,25,3,4,1,0,2,18100,133502
Sharp LED,TV,5145,8,1,5,4,4,1,42800,25413
Philips Air Purifier,Appliance,7108,12,2,0,1,1,4,11700,11963
Xiaomi Tablet,Tablet,30488,54,5,3,3,0,2,20100,27428
GoPro Camera,Camera,108040,45,3,1,4,4,3,34400,77162
MacBook Pro,Laptop,177896,4,3,0,0,0,5,7000,167164
Philips Air Purifier,Appliance,117684,48,3,0,2,2,5,20000,82964
Sony PlayStation,Gaming Console,113994,4,4,4,0,3,1,31800,111655
Bose Speaker,Audio,40727,28,0,2,4,1,2,18600,40253
Sony Headphones,Audio,198599,50,2,4,4,4,4,43200,130829
HP Printer,Printer,191088,38,4,3,5,1,1,26300,129714
iPhone 13,Phone,167573,41,5,1,5,2,0,25500,105753
HP Printer,Printer,133903,20,4,1,1,3,4,26700,112438
MacBook Pro,Laptop,77588,20,2,4,0,0,1,14800,74126
Sony PlayStation,Gaming Console,23053,36,4,5,4,5,3,52400,39110
Sharp LED,TV,138243,46,5,0,0,1,3,12400,96058
Canon DSLR,Camera,71071,24,1,1,4,5,1,35800,66228
Samsung TV,TV,19290,10,4,5,5,3,4,44700,36046
Bose Speaker,Audio,37704,42,0,2,4,1,5,21000,36516
Lenovo Monitor,Monitor,32232,60,5,5,3,3,1,40300,35621
Sony PlayStation,Gaming Console,60097,41,1,2,4,0,2,14600,49067
Sony Headphones,Audio,193198,47,4,2,0,3,4,28200,134849
Apple Watch,Wearable,165116,48,4,3,1,0,0,14500,116227
iPhone 13,Phone,126280,39,4,0,0,3,3,21400,94676
Philips Air Purifier,Appliance,85820,56,4,0,3,4,0,28500,57160
Xiaomi Tablet,Tablet,73943,6,2,1,3,5,0,34500,74186
Bose Speaker,Audio,80217,44,0,0,5,5,1,33300,63176
Samsung TV,TV,188556,39,1,5,4,2,1,32800,141790
Sony Headphones,Audio,106657,42,3,3,5,4,5,43500,80411
Dell Laptop,Laptop,7921,20,1,3,5,4,2,39100,25095
iPhone 13,Phone,10391,4,2,4,1,4,2,37100,27278
LG Microwave,Appliance,177156,44,2,2,0,0,2,9600,135895
Lenovo Monitor,Monitor,135805,31,3,3,0,1,0,17000,112391
Canon DSLR,Camera,42085,11,1,1,0,3,0,19000,45904
Canon DSLR,Camera,51356,35,1,3,0,2,2,21600,50087
Apple Watch,Wearable,154408,59,3,1,5,4,2,35100,89350
Canon DSLR,Camera,191212,41,3,1,4,2,4,25200,130195
Asus ZenBook,Laptop,129815,34,3,5,5,2,1,36300,99933
Dell Laptop,Laptop,115449,44,1,4,4,5,3,46400,90160
Samsung Refrigerator,Appliance,171640,53,1,2,0,4,2,28600,123291
Asus ZenBook,Laptop,57709,58,0,2,1,2,0,17500,46261
Microsoft Xbox,Gaming Console,141486,56,3,0,4,0,0,9000,86562
Samsung Refrigerator,Appliance,43987,21,5,1,3,5,2,39100,47482
Samsung TV,TV,157690,26,1,4,1,5,2,41100,135664
Microsoft Xbox,Gaming Console,94298,12,3,5,1,3,5,38500,94688
Sony Headphones,Audio,118346,32,5,1,0,1,4,16200,93309
Sony PlayStation,Gaming Console,100992,46,5,5,0,3,3,37400,80305
Apple Watch,Wearable,114106,15,5,4,5,0,0,24500,94977
Xiaomi Tablet,Tablet,127885,55,1,5,1,0,4,20700,97951
HP Printer,Printer,180633,4,2,1,2,2,1,18800,164744
Philips Air Purifier,Appliance,103640,5,3,4,4,2,0,31000,97894
Panasonic VCR,Appliance,35285,47,1,2,0,4,0,27000,36965
LG Microwave,Appliance,62998,18,4,1,2,3,3,27400,59689
Sony Headphones,Audio,142702,29,1,4,2,0,2,17600,122248
LG Microwave,Appliance,146119,2,1,2,0,1,0,12000,144813
Canon DSLR,Camera,29635,51,4,0,4,5,0,35000,31873
GoPro Camera,Camera,106017,43,0,5,4,1,0,26000,85622
Bose Speaker,Audio,193392,12,2,4,2,5,5,46000,169978
Microsoft Xbox,Gaming Console,105468,41,4,3,3,0,5,21500,79832
Microsoft Xbox,Gaming Console,41197,25,1,1,0,2,3,16400,41776
Xiaomi Tablet,Tablet,67210,17,0,4,0,0,2,13600,68297
LG Microwave,Appliance,147737,29,3,0,3,1,1,13300,112282
Xiaomi Tablet,Tablet,55560,28,5,0,4,0,0,11000,43281
Samsung Refrigerator,Appliance,15304,37,4,0,2,0,0,7000,14136
Samsung TV,TV,146658,4,3,4,2,2,1,28800,137593
GoPro Camera,Camera,45908,40,5,4,2,4,4,43200,48227
LG Microwave,Appliance,135723,4,5,3,5,0,3,23900,117814
Sony PlayStation,Gaming Console,89164,48,2,1,0,0,0,5000,66698
Sony PlayStation,Gaming Console,93645,15,5,5,3,5,0,49500,87024
GoPro Camera,Camera,182203,29,0,3,1,3,0,25500,153957
Asus ZenBook,Laptop,144318,17,2,3,4,2,4,30200,124060
Panasonic VCR,Appliance,170269,52,3,2,2,4,3,34400,112551
HP Printer,Printer,108923,45,2,5,0,1,0,22000,88880
Sharp LED,TV,60821,10,4,3,3,5,4,45700,66033
Samsung Refrigerator,Appliance,49282,53,3,0,4,4,3,31400,41080
Sharp LED,TV,42988,48,3,3,5,1,2,26100,37983
Dell Laptop,Laptop,6841,36,0,2,5,3,1,29300,19165
Sony Headphones,Audio,69200,22,5,3,2,2,0,27000,62632
Xiaomi Tablet,Tablet,126300,48,2,0,3,5,4,34700,88078
GoPro Camera,Camera,92251,51,4,4,1,1,1,23300,69307
iPhone 13,Phone,96812,48,0,4,5,0,2,21100,74446
Sony PlayStation,Gaming Console,25591,42,3,0,3,3,2,24100,27661
Xiaomi Tablet,Tablet,60264,45,2,4,4,2,2,31600,52862
Panasonic VCR,Appliance,115285,43,2,4,2,2,0,27000,90165
Panasonic VCR,Appliance,91576,59,4,0,2,2,3,19400,59609
Asus ZenBook,Laptop,102041,16,5,0,2,3,0,23000,84970
Microsoft Xbox,Gaming Console,107703,57,5,0,0,1,3,12400,70283
GoPro Camera,Camera,162835,42,3,1,3,2,2,22100,113636
MacBook Pro,Laptop,132687,49,3,0,3,5,2,34100,88038
LG Microwave,Appliance,152286,11,5,3,5,3,0,36500,122566
Philips Air Purifier,Appliance,73187,9,3,2,3,2,2,25100,70734
HP Printer,Printer,119222,53,0,2,1,4,0,27500,89456
Apple Watch,Wearable,185105,31,2,2,3,3,4,30700,142147
Samsung TV,TV,18573,21,5,4,4,1,0,28000,26908
Lenovo Monitor,Monitor,21160,41,5,2,3,5,4,43700,33171
Microsoft Xbox,Gaming Console,158820,23,0,3,1,2,5,24500,143276
Bose Speaker,Audio,23431,28,0,5,4,1,2,27600,31608
GoPro Camera,Camera,66615,60,1,1,5,4,3,33900,50257
Asus ZenBook,Laptop,65921,27,0,3,5,4,3,38900,64606
Sony Headphones,Audio,195239,56,4,2,3,0,1,15300,120889
Lenovo Monitor,Monitor,81960,7,3,2,3,0,0,13500,76006
LG Microwave,Appliance,140719,27,3,3,4,3,2,34600,110878
Samsung Refrigerator,Appliance,57995,57,5,3,4,4,5,44000,48388
Samsung TV,TV,12414,28,0,5,2,3,3,35400,27135
Sony PlayStation,Gaming Console,174722,18,2,0,3,2,0,16500,142786
Canon DSLR,Camera,36958,5,0,5,1,5,3,43900,53549
Xiaomi Tablet,Tablet,156326,43,1,5,0,5,4,44200,126057
Xiaomi Tablet,Tablet,68921,58,4,1,0,4,4,30200,53007
Sony Headphones,Audio,26922,28,1,1,0,4,0,24000,32461
Samsung TV,TV,20395,33,2,4,3,3,2,35100,31317
Lenovo Monitor,Monitor,116375,52,1,2,0,4,2,28600,88780
Panasonic VCR,Appliance,66925,1,3,2,1,4,1,31300,71532
Bose Speaker,Audio,48402,48,4,3,0,3,3,30400,45209
iPhone 13,Phone,141611,46,2,5,3,5,5,50500,105968
LG Microwave,Appliance,99694,32,5,1,1,2,5,23500,79542
Asus ZenBook,Laptop,46780,27,0,5,2,3,3,35400,53487
Sony PlayStation,Gaming Console,25430,59,5,2,5,2,4,31700,27675
Sharp LED,TV,97999,37,4,3,3,0,0,17500,74899
HP Printer,Printer,110925,19,2,5,3,3,2,38100,101689
Apple Watch,Wearable,116052,25,0,5,4,4,3,43400,104677
HP Printer,Printer,68443,40,0,2,5,3,0,28500,58054
iPhone 13,Phone,144622,27,1,1,5,0,1,12300,113893
Bose Speaker,Audio,107994,54,5,0,1,2,5,20500,71807
Asus ZenBook,Laptop,179971,3,1,1,2,3,0,22000,166675
Canon DSLR,Camera,119402,21,1,3,3,0,1,15300,104963
Panasonic VCR,Appliance,36779,15,3,4,1,5,4,44700,49750
Sony PlayStation,Gaming Console,45158,5,5,0,0,4,1,25800,48801
Sharp LED,TV,172150,8,4,1,5,5,2,41100,137612
Microsoft Xbox,Gaming Console,59046,24,5,4,3,5,1,47300,60259
Dell Laptop,Laptop,192370,56,1,1,5,0,5,15500,123172
Sony Headphones,Audio,188050,58,3,1,5,5,5,42500,105872
Microsoft Xbox,Gaming Console,175144,6,4,5,2,1,5,31000,160870
GoPro Camera,Camera,35552,55,0,0,4,0,5,10000,27931
Sharp LED,TV,51543,7,5,2,1,2,3,24900,53942
Dell Laptop,Laptop,135667,19,1,2,0,1,1,12800,123752
Sony PlayStation,Gaming Console,70909,43,4,1,2,5,5,39000,59564
Canon DSLR,Camera,3201,27,0,3,4,1,1,20800,12849
Bose Speaker,Audio,137339,4,3,3,2,0,3,17400,129558
Apple Watch,Wearable,95402,57,1,2,5,2,1,25300,65598
Sony PlayStation,Gaming Console,156262,60,0,1,4,5,2,35600,99056
LG Microwave,Appliance,8052,34,4,3,5,4,1,41300,25240
Panasonic VCR,Appliance,47688,14,5,3,1,5,4,43700,55708
Dell Laptop,Laptop,186095,4,0,1,1,0,3,6900,182101
Asus ZenBook,Laptop,134217,56,3,1,5,5,2,40100,81790
Apple Watch,Wearable,122705,20,5,1,5,3,0,30500,93781
Canon DSLR,Camera,190464,27,2,1,4,0,2,12600,148196
Lenovo Monitor,Monitor,36943,34,4,4,4,0,5,26000,37752
Bose Speaker,Audio,175065,36,4,1,5,2,0,24500,117289
LG Microwave,Appliance,168104,38,4,5,2,0,3,24400,128192
Panasonic VCR,Appliance,161475,57,0,2,3,5,3,37900,108569
Canon DSLR,Camera,175163,53,4,2,2,4,1,33800,110612
Panasonic VCR,Appliance,180593,3,0,0,2,0,0,3000,172160
iPhone 13,Phone,163973,54,1,1,0,2,2,15600,117662
iPhone 13,Phone,175707,50,2,0,4,1,2,14600,114481
Apple Watch,Wearable,111628,3,4,4,3,3,2,37100,106178
LG Microwave,Appliance,199258,16,0,1,1,0,3,6900,182782
Samsung Refrigerator,Appliance,59957,37,5,2,1,3,5,31500,53823
Lenovo Monitor,Monitor,168356,60,1,2,4,1,1,18800,107046
LG Microwave,Appliance,188241,21,3,2,5,4,5,40500,143548
Canon DSLR,Camera,154715,30,3,0,5,3,3,27900,111420
Philips Air Purifier,Appliance,187474,36,3,1,3,2,0,20500,133983
Microsoft Xbox,Gaming Console,175647,26,2,4,5,3,3,38900,137133
Microsoft Xbox,Gaming Console,130206,32,4,2,1,3,0,26500,101790
Sony PlayStation,Gaming Console,172682,30,0,1,2,1,4,14200,143519
Xiaomi Tablet,Tablet,10029,13,4,1,0,1,1,12800,14774
Dell Laptop,Laptop,144222,45,5,4,2,5,1,45800,100059
Sharp LED,TV,34057,32,0,5,0,3,5,34000,43564
iPhone 13,Phone,78706,30,0,3,4,4,5,39000,73807
Sony Headphones,Audio,89768,9,0,0,0,5,1,25800,89652
HP Printer,Printer,110603,43,5,0,0,5,0,30000,79703
Bose Speaker,Audio,75984,6,0,4,1,5,4,41700,85436
Philips Air Purifier,Appliance,85600,44,0,1,5,4,5,34500,68610
iPhone 13,Phone,189091,13,2,0,3,0,4,9700,162741
Lenovo Monitor,Monitor,197363,41,1,3,4,2,0,26000,142273
Philips Air Purifier,Appliance,32948,2,2,5,2,1,1,25800,42224
Samsung TV,TV,184749,11,5,5,2,3,1,38800,157038
Sony Headphones,Audio,31969,24,0,0,3,0,3,6900,29665
Sony Headphones,Audio,45207,19,4,4,0,5,0,41000,53275
Apple Watch,Wearable,170024,38,2,5,2,0,3,22400,135318
Sony Headphones,Audio,28053,46,5,4,1,4,1,39300,35640
Philips Air Purifier,Appliance,157177,16,0,5,1,2,1,27300,148822
Samsung TV,TV,38826,40,5,1,3,5,2,39100,40516
MacBook Pro,Laptop,181270,12,3,3,4,4,1,38800,149914
Apple Watch,Wearable,121827,1,5,0,2,1,5,17000,110226
GoPro Camera,Camera,85389,29,4,2,5,5,4,45700,71949
Canon DSLR,Camera,178143,39,1,3,0,2,3,22400,143917
Microsoft Xbox,Gaming Console,135437,4,0,5,2,3,1,33800,136085
Sony Headphones,Audio,149519,35,1,3,4,4,3,38400,115640
HP Printer,Printer,12457,34,5,1,3,1,3,19900,18047
Samsung TV,TV,170467,8,4,1,4,0,5,17000,144874
Sony Headphones,Audio,157156,16,0,0,2,2,1,13800,138911
Samsung Refrigerator,Appliance,38481,4,0,0,3,0,5,8500,39653
Bose Speaker,Audio,109693,57,1,0,0,4,1,21800,78361
HP Printer,Printer,108321,56,4,0,5,4,4,34700,67178
Philips Air Purifier,Appliance,6443,48,3,0,2,0,2,7600,8052
Samsung Refrigerator,Appliance,77730,17,2,2,3,0,1,13300,70000
MacBook Pro,Laptop,6142,36,2,0,3,4,2,28100,17981
Samsung TV,TV,81494,13,5,0,0,5,2,31600,75698
GoPro Camera,Camera,130485,42,2,3,0,1,4,19200,104854
Bose Speaker,Audio,144163,35,4,4,0,3,1,31800,114652
Samsung Refrigerator,Appliance,112583,2,4,0,0,2,5,18000,106947
GoPro Camera,Camera,194625,11,4,3,1,0,2,16100,172508
Apple Watch,Wearable,71659,45,4,1,1,2,2,20100,55553
Sony PlayStation,Gaming Console,116891,59,4,4,1,4,3,39900,81318
Apple Watch,Wearable,150315,5,3,4,4,4,3,43400,135188
Xiaomi Tablet,Tablet,130855,5,0,5,0,2,4,28200,136449
Sony Headphones,Audio,199283,56,2,5,3,0,1,22300,134705
GoPro Camera,Camera,140087,36,1,1,0,5,3,31400,113761
Sony Headphones,Audio,25449,2,3,5,5,4,2,47100,42637
iPhone 13,Phone,151748,49,5,0,4,1,3,18400,93420
Dell Laptop,Laptop,80987,7,2,4,1,0,1,16300,81443
Dell Laptop,Laptop,198714,24,3,2,1,0,5,14500,166221
Samsung TV,TV,11396,9,2,3,2,3,2,30600,24588
Microsoft Xbox,Gaming Console,82099,59,3,3,5,5,3,46900,59984
Panasonic VCR,Appliance,29565,25,3,1,3,3,5,29500,35298
Lenovo Monitor,Monitor,76498,60,5,1,1,5,4,37700,55569
Xiaomi Tablet,Tablet,125095,60,1,0,2,4,5,28000,84053
Asus ZenBook,Laptop,120904,15,1,2,0,2,2,18600,113882
iPhone 13,Phone,102847,56,1,4,1,2,4,27700,79672
Lenovo Monitor,Monitor,100359,22,5,1,4,1,4,22200,80348
Panasonic VCR,Appliance,123152,27,0,3,4,4,4,38200,105922
Panasonic VCR,Appliance,99261,30,0,5,5,5,0,47500,88270
LG Microwave,Appliance,62715,49,4,1,2,0,4,13200,46424
Samsung Refrigerator,Appliance,125364,3,5,2,3,0,2,17100,111975
HP Printer,Printer,132834,54,1,3,4,2,2,27600,92172
Apple Watch,Wearable,88793,28,1,1,2,3,4,25200,78307
Bose Speaker,Audio,171691,33,3,3,3,4,1,37300,127674
Asus ZenBook,Laptop,47202,47,3,5,2,4,5,45000,50113
MacBook Pro,Laptop,100321,59,0,1,5,4,0,30500,67919
Sharp LED,TV,126449,28,1,5,4,4,2,43600,107785
Xiaomi Tablet,Tablet,75041,26,5,0,4,0,1,11800,57678
Lenovo Monitor,Monitor,32506,59,3,3,3,1,1,22300,29516
Bose Speaker,Audio,199447,9,4,5,1,2,1,31300,178199
Samsung Refrigerator,Appliance,75930,41,3,4,1,0,5,20500,64540
Dell Laptop,Laptop,191601,38,4,0,4,2,1,20800,127277
Asus ZenBook,Laptop,57423,12,4,1,1,2,4,21700,56788
Panasonic VCR,Appliance,146136,41,4,1,0,5,3,34400,107074
Microsoft Xbox,Gaming Console,5762,7,2,3,3,1,1,21300,15519
Panasonic VCR,Appliance,21957,8,5,1,5,3,5,34500,32620
LG Microwave,Appliance,137403,7,0,3,0,5,4,37200,137454
Philips Air Purifier,Appliance,98779,39,3,2,4,4,2,36600,76086
Apple Watch,Wearable,143573,1,4,0,0,0,0,4000,133369
Philips Air Purifier,Appliance,63828,37,3,5,5,5,4,53700,62275
Sony Headphones,Audio,95447,40,0,1,4,1,4,17200,75413
Canon DSLR,Camera,112262,46,2,1,1,3,0,21500,83720
Canon DSLR,Camera,79347,48,4,4,3,4,2,42100,63897
LG Microwave,Appliance,42722,29,5,5,4,4,5,50000,50420
Bose Speaker,Audio,122324,3,0,5,3,2,2,31100,123807
GoPro Camera,Camera,36695,49,0,1,3,2,4,20700,34385
Xiaomi Tablet,Tablet,186304,42,4,0,2,1,0,12000,127098
Apple Watch,Wearable,59839,1,1,4,5,2,4,33700,66816
Bose Speaker,Audio,53555,30,4,2,5,0,2,19100,45432
Samsung TV,TV,111227,43,3,5,2,3,4,39200,89117
Xiaomi Tablet,Tablet,109582,9,0,5,3,3,2,36100,109551
HP Printer,Printer,199564,49,2,5,4,3,1,38800,134149
Apple Watch,Wearable,5699,8,3,5,0,0,3,20400,15329
Bose Speaker,Audio,76569,28,2,2,5,2,3,27900,66017
Sharp LED,TV,101558,56,5,2,5,2,5,32500,64998
MacBook Pro,Laptop,13879,6,1,3,3,2,1,25300,24447
Asus ZenBook,Laptop,48135,3,1,4,0,3,4,31200,59162
Asus ZenBook,Laptop,70249,10,4,4,2,5,5,48000,75282
Panasonic VCR,Appliance,33567,25,1,0,3,1,3,12900,32464
Sharp LED,TV,66909,9,0,3,4,5,1,40800,72254
GoPro Camera,Camera,199987,15,4,4,3,0,5,24500,169240
GoPro Camera,Camera,160911,60,5,5,2,2,0,33000,100174
Bose Speaker,Audio,134942,9,4,2,2,3,3,30400,119780
MacBook Pro,Laptop,42778,10,2,2,0,0,0,8000,42928
Asus ZenBook,Laptop,79987,23,4,0,4,5,1,35800,67892
Panasonic VCR,Appliance,159369,6,2,2,2,0,1,11800,147738
Bose Speaker,Audio,177161,8,2,2,1,3,4,27700,162665
Bose Speaker,Audio,50454,2,2,3,3,5,2,42100,60909
Asus ZenBook,Laptop,181221,11,5,1,4,0,5,18000,147634
Samsung Refrigerator,Appliance,94276,25,1,3,0,4,3,32400,89264
GoPro Camera,Camera,137240,41,4,5,1,0,1,21300,106032
Microsoft Xbox,Gaming Console,52406,43,4,1,3,4,5,35500,47359
Bose Speaker,Audio,122958,57,3,3,3,5,3,43900,82814
Xiaomi Tablet,Tablet,150128,31,2,3,0,1,3,18400,127050
Sharp LED,TV,32614,11,1,1,3,1,0,13500,34309
MacBook Pro,Laptop,141094,29,5,4,3,1,1,27300,108888
MacBook Pro,Laptop,138935,17,0,3,3,0,5,17500,127539
Sharp LED,TV,131852,33,3,2,0,4,4,32200,107737
Panasonic VCR,Appliance,17938,47,1,4,4,0,4,22200,23029
Microsoft Xbox,Gaming Console,163788,44,4,1,4,0,0,13000,108049
Sony Headphones,Audio,11773,7,2,0,1,1,3,10900,15869
